"time","passengers","distance","fare","payment_method","tip"
"2021-09-01T15:27:53.000000Z",1.0,0.93,5.5,"Cash",0.0
"2021-09-01T15:27:53.000000Z",2.0,0.66,6.5,"Cash",0.0
"2021-09-01T15:27:53.000000Z",1.0,1.2,8.5,"Card",1.85
"2021-09-01T15:27:54.000000Z",1.0,0.9,6.5,"Cash",0.0
"2021-09-01T15:27:54.000000Z",1.0,2.84,15.0,"Cash",0.0
"2021-09-01T15:27:54.000000Z",1.0,12.870000000000,52.0,"Cash",0.0
"2021-09-01T15:27:54.000000Z",1.0,2.300000000000,14.0,"Card",0.0
"2021-09-01T15:27:54.000000Z",1.0,1.1,8.0,"Cash",0.0
"2021-09-01T15:27:54.000000Z",5.0,9.870000000000,30.0,"Card",7.310000000000
"2021-09-01T15:27:54.000000Z",1.0,1.8,10.0,"Card",1.62
"2021-09-01T15:27:55.000000Z",1.0,1.62,9.0,"Card",1.0
"2021-09-01T15:27:55.000000Z",6.0,2.83,12.0,"Card",2.56
"2021-09-01T15:27:55.000000Z",2.0,0.6,4.5,"Cash",0.0
"2021-09-01T15:27:55.000000Z",2.0,0.72,6.0,"Card",1.36
"2021-09-01T15:27:55.000000Z",1.0,1.03,6.0,"Cash",0.0
"2021-09-01T15:27:55.000000Z",6.0,3.510000000000,20.0,"Card",4.16
"2021-09-01T15:27:55.000000Z",3.0,1.390000000000,6.0,"Card",0.0
"2021-09-01T15:27:55.000000Z",2.0,18.03,52.0,"Card",11.71
"2021-09-01T15:27:56.000000Z",1.0,0.3,5.0,"Card",1.45
"2021-09-01T15:27:56.000000Z",1.0,4.1,19.0,"Card",3.95
"2021-09-01T15:27:56.000000Z",1.0,0.33,4.0,"Card",0.96
"2021-09-01T15:27:56.000000Z",1.0,9.46,30.0,"Card",0.0
"2021-09-01T15:27:56.000000Z",1.0,11.55,35.0,"Card",8.31
"2021-09-01T15:27:56.000000Z",1.0,1.1,6.0,"Card",1.0
"2021-09-01T15:27:56.000000Z",1.0,1.09,10.0,"Card",2.7
"2021-09-01T15:27:56.000000Z",1.0,19.2,52.0,"Card",5.0
"2021-09-01T15:27:56.000000Z",2.0,1.6,9.0,"Card",1.95
"2021-09-01T15:27:56.000000Z",1.0,2.1,10.0,"Card",2.15
"2021-09-01T15:27:56.000000Z",1.0,2.4,13.5,"Cash",0.0
"2021-09-01T15:27:57.000000Z",1.0,1.0,6.5,"Card",2.0
"2021-09-01T15:27:57.000000Z",1.0,1.900000000000,11.0,"Card",0.0
"2021-09-01T15:27:57.000000Z",1.0,0.8,5.0,"Card",1.200000000000
"2021-09-01T15:27:57.000000Z",1.0,1.400000000000,8.0,"Card",1.75
"2021-09-01T15:27:57.000000Z",1.0,1.400000000000,8.5,"Card",1.86
"2021-09-01T15:27:58.000000Z",1.0,4.24,18.5,"Card",1.0
"2021-09-01T15:27:58.000000Z",2.0,11.950000000000,41.5,"Card",9.61
"2021-09-01T15:27:58.000000Z",1.0,1.0,6.0,"Cash",0.0
"2021-09-01T15:27:58.000000Z",1.0,1.0,9.5,"Card",2.0
"2021-09-01T15:27:59.000000Z",1.0,5.62,18.0,"Card",5.64
"2021-09-01T15:27:59.000000Z",5.0,0.79,7.5,"Card",1.3
"2021-09-01T15:27:59.000000Z",1.0,2.780000000000,15.5,"Card",1.75
"2021-09-01T15:27:59.000000Z",5.0,0.9,6.5,"Card",1.82
"2021-09-01T15:27:59.000000Z",1.0,1.1,7.5,"Cash",0.0
"2021-09-01T15:27:59.000000Z",1.0,5.08,23.5,"Card",6.08
"2021-09-01T15:27:59.000000Z",1.0,0.91,5.5,"Card",0.5
"2021-09-01T15:28:00.000000Z",2.0,0.8,5.5,"Card",1.0
"2021-09-01T15:28:00.000000Z",1.0,18.5,52.0,"Card",11.700000000000
"2021-09-01T15:28:00.000000Z",1.0,2.1,10.0,"Card",2.7
"2021-09-01T15:28:00.000000Z",1.0,0.6,5.5,"Card",1.26
"2021-09-01T15:28:00.000000Z",1.0,0.950000000000,6.0,"Cash",0.0
"2021-09-01T15:28:00.000000Z",1.0,0.8,7.0,"Cash",0.0
"2021-09-01T15:28:01.000000Z",2.0,0.85,5.0,"Cash",0.0
"2021-09-01T15:28:01.000000Z",1.0,1.0,8.0,"Card",1.75
"2021-09-01T15:28:01.000000Z",1.0,20.03,52.0,"Card",11.71
